text,text_lower,lemma,lemma_lower,part_of_speech,is_alphabet,is_stopword
Codul,codul,Codul,codul,,True,False
silvic,silvic,silvic,silvic,,True,False
român,român,român,român,,True,False
din,din,din,din,,True,True
1910,1910,1910,1910,,False,False
;,;,;,;,,False,False
1962,1962,1962,1962,,False,False
Codul,codul,Codul,codul,,True,False
Silvic,silvic,Silvic,silvic,,True,False
;,;,;,;,,False,False
1996,1996,1996,1996,,False,False
Codul,codul,Codul,codul,,True,False
Silvic,silvic,Silvic,silvic,,True,False
;,;,;,;,,False,False
2008,2008,2008,2008,,False,False
Codul,codul,Codul,codul,,True,False
Silvic,silvic,Silvic,silvic,,True,False
.,.,.,.,,False,False
Orândue3,orândue3,Orândue3,orândue3,,False,False
",",",",",",",",,False,False
s,s,s,s,,True,True
-,-,-,-,,False,False
Iosif,iosif,Iosif,iosif,,True,False
al,al,al,al,,True,True
II,ii,II,ii,,True,True
-,-,-,-,,False,False
lea,lea,lea,lea,,True,False
i,i,i,i,,True,True
a,a,a,a,,True,True
forestier,forestier,forestier,forestier,,True,False
l,l,l,l,,True,True
silviculturii,silviculturii,silviculturii,silviculturii,,True,False
.,.,.,.,,False,False
Codicele,codicele,Codicele,codicele,,True,False
Silvic,silvic,Silvic,silvic,,True,False
de,de,de,de,,True,True
la,la,la,la,,True,True
1881,1881,1881,1881,,False,False
este,este,este,este,,True,True
prima,prima,prima,prima,,True,True
lege,lege,lege,lege,,True,False
-,-,-,-,,False,False
Româniaanul,româniaanul,Româniaanul,româniaanul,,True,False
1827,1827,1827,1827,,False,False
",",",",",",",",,False,False
fiind,fiind,fiind,fiind,,True,False
adoptat,adoptat,adoptat,adoptat,,True,False
la,la,la,la,,True,True
propunerea,propunerea,propunerea,propunerea,,True,False
Regelui,regelui,Regelui,regelui,,True,False
Car,car,Car,car,,True,False
",",",",",",",",,False,False
orice,orice,orice,orice,,True,True
4,4,4,4,,False,False
.,.,.,.,,False,False
